srcport,srcipv4,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,foreigninterface,dstport,direction,class,category,action,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,dstipv4,dstisp,dstusagetype,localinterface,connectionid,dstcountry,dstcountrycode,dstcity,dstdomain,dstlatitude,dstlongitude,dstregion,msg,srccountry,srccountrycode,srccity,srcdomain,srclatitude,srclongitude,srcregion,count,aclname,reason,duration,bytes,srchost,accessgroup,dsthost,type,group,srcmac,interface
0,172.21.25.40,172.20.41.250,127.0.0.1,: %ASA-6-302020: Built inbound ICMP connection for faddr 172.21.25.40/0 gaddr 172.20.41.1/0 laddr 172.20.41.1/0,icmp,%ASA-6-302020,firewall,2017-05-09T03:00:49.758Z,514,172.20.41.250,cisco_asa-2902765419,137,<166>May 09 2017 03:00:49,211998731,0,0.0.0.0/514/udp,2afc-ca2d80b,11004,172.20.41.1,0,inbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#881,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#881"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":880,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11004, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0,172.21.25.40,172.20.41.250,127.0.0.1,: %ASA-6-302021: Teardown ICMP connection for faddr 172.21.25.40/0 gaddr 172.20.41.1/0 laddr 172.20.41.1/0,icmp,%ASA-6-302021,firewall,2017-05-09T03:00:49.758Z,514,172.20.41.250,cisco_asa-2914843190,132,<166>May 09 2017 03:00:49,211998732,0,0.0.0.0/514/udp,2afc-ca2d80c,11004, ,0, ,cisco_asa,connection,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#882,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#882"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":881,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11004,172.20.41.1,private ip address lan,rsv, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45683,172.20.63.51,172.20.41.250,127.0.0.1,: %ASA-6-302013: Built outbound TCP connection 25408056 for WAN:172.21.22.111/6970 (172.21.22.111/6970) to inside:172.20.63.51/45683 (172.20.63.51/45683),tcp,%ASA-6-302013,vpn,2017-05-09T03:00:49.972Z,514,172.20.41.250,cisco_asa-1992304797,179,<166>May 09 2017 03:00:49,211998739,0,0.0.0.0/514/udp,2afc-ca2d813,11004,wan,6970,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#884,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#884"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":883,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11004,172.21.22.111,private ip address lan,rsv,inside,25408056, , , , , , , , , , , , , , , , , , , , , , , , , , , 
58727,172.20.40.129,172.20.41.250,127.0.0.1,: %ASA-6-302013: Built outbound TCP connection 25408057 for outside2:34.195.92.116/443 (34.195.92.116/443) to inside:172.20.40.129/58727 (41.187.24.66/58727),tcp,%ASA-6-302013,vpn,2017-05-09T03:00:50.178Z,514,172.20.41.250,cisco_asa-1992304797,183,<166>May 09 2017 03:00:50,211998750,0,0.0.0.0/514/udp,2afc-ca2d81e,11004,outside2,443,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#888,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#888"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":887,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11004,34.195.92.116,amazon technologies inc.,dch,inside,25408057,united states,us,ashburn,amazon.com,39.04372024536133,-77.48748779296875,virginia, , , , , , , , , , , , , , , , , , , , 
443,34.195.92.116,172.20.43.250,127.0.0.1,: %ASA-6-434004: SFR requested ASA to bypass further packet redirection and process TCP flow from outside2:34.195.92.116/443 to inside:121.241.125.210/54051 locally, ,%ASA-6-434004,firewall,2017-05-09T03:00:49.549Z,514,172.20.43.250,cisco_asa-2584709249,190,<166>May 09 2017 03:00:49,316033326,0,0.0.0.0/514/udp,2afe-12d6492e,11006,inside,54051, ,cisco_asa, , ,42de5aa5-b7a9-48ef-9a11-38a850d4b431#916,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#916"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":915,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",amazon technologies inc.,dch,11006,121.241.125.210,tata communications limited,isp/mob,outside2, ,india,in,delhi,tatacommunications.com,28.666669845581055,77.21666717529297,delhi,sfr requested asa to bypass further packet redirection and process tcp flow,united states,us,ashburn,amazon.com,39.04372024536133,-77.48748779296875,virginia, , , , , , , , , , , , 
61056,172.20.42.104,172.20.43.250,127.0.0.1,": %ASA-2-106100: access-list inside_access_out permitted tcp inside/172.20.42.104(61056) -> outside2/209.53.113.223(80) hit-cnt 1 first hit [0x213d2d15, 0x0]",tcp,%ASA-2-106100,firewall,2017-05-09T03:00:49.865Z,514,172.20.43.250,cisco_asa-3528583999,183,<162>May 09 2017 03:00:49,316033345,0,0.0.0.0/514/udp,2afe-12d64941,11006,outside2,80, ,cisco_asa, ,permitted,42de5aa5-b7a9-48ef-9a11-38a850d4b431#921,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#921"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":920,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11006,209.53.113.223,absolute software corp.,com,inside, ,canada,ca,vancouver,absolute.com,49.26339340209961,-123.13139343261719,british columbia, , , , , , , , ,1,inside_access_out, , , , , , , , , , 
7800,192.168.21.10,172.20.43.250,127.0.0.1,: %ASA-6-302014: Teardown TCP connection 22157248 for WAN:192.168.21.10/7800 to inside:192.168.42.10/43305 duration 0:02:05 bytes 13233 TCP FINs,tcp,%ASA-6-302014,vpn,2017-05-09T03:00:50.007Z,514,172.20.43.250,cisco_asa-173480565,170,<166>May 09 2017 03:00:49,316033350,0,0.0.0.0/514/udp,2afe-12d64946,11006,inside,43305, ,cisco_asa,connection,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#922,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#922"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":921,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11006,192.168.42.10,private ip address lan,rsv,wan,22157248, , , , , , , , , , , , , , , , , ,tcp fins,125,13233, , , , , , , 
80,168.235.199.113,172.20.43.250,127.0.0.1,: %ASA-6-302014: Teardown TCP connection 22158805 for outside2:168.235.199.113/80 to dmz-wireless:192.168.243.103/42352 duration 0:00:00 bytes 1851 TCP FINs,tcp,%ASA-6-302014,vpn,2017-05-09T03:00:50.082Z,514,172.20.43.250,cisco_asa-173480565,182,<166>May 09 2017 03:00:50,316033365,0,0.0.0.0/514/udp,2afe-12d64955,11006,dmz-wireless,42352, ,cisco_asa,connection,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#926,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#926"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":925,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",quantil inc,cdn,11006,192.168.243.103,private ip address lan,rsv,outside2,22158805, , , , , , , , ,united states,us,pasadena,quantil.com,34.14739227294922,-118.1391372680664,california, , ,tcp fins,0,1851, , , , , , , 
47597,192.168.243.103,172.20.43.250,127.0.0.1,: %ASA-6-302013: Built outbound TCP connection 22158809 for outside2:168.235.199.113/80 (168.235.199.113/80) to dmz-wireless:192.168.243.103/47597 (121.241.125.210/47597),tcp,%ASA-6-302013,vpn,2017-05-09T03:00:49.752Z,514,172.20.43.250,cisco_asa-1992304797,196,<166>May 09 2017 03:00:49,316033334,0,0.0.0.0/514/udp,2afe-12d64936,11006,outside2,80,outbound,cisco_asa,connection,built,42de5aa5-b7a9-48ef-9a11-38a850d4b431#932,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#932"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":931,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11006,168.235.199.113,quantil inc,cdn,dmz-wireless,22158809,united states,us,pasadena,quantil.com,34.14739227294922,-118.1391372680664,california, , , , , , , , , , , , , , , , , , , , 
54857,192.168.243.125,172.20.43.250,127.0.0.1,: %ASA-6-305012: Teardown dynamic TCP translation from dmz-wireless:192.168.243.125/54857 to outside2:121.241.125.210/54857 duration 0:12:47,tcp,%ASA-6-305012,firewall,2017-05-09T03:00:50.114Z,514,172.20.43.250,cisco_asa-854049557,166,<166>May 09 2017 03:00:50,316033367,0,0.0.0.0/514/udp,2afe-12d64957,11006,outside2,54857,dynamic,cisco_asa,translation,teardown,42de5aa5-b7a9-48ef-9a11-38a850d4b431#941,"{""id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431#941"",""num_events"":2816,""data_type"":""passthrough"",""batch_id"":""42de5aa5-b7a9-48ef-9a11-38a850d4b431"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":940,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11006,121.241.125.210,tata communications limited,isp/mob,dmz-wireless, ,india,in,delhi,tatacommunications.com,28.666669845581055,77.21666717529297,delhi, , , , , , , , , , , ,767, , , , , , , , 
