username,threshold,srcipv4,size,rawmsghostname,rawmsghostipv4,rawmsg,program,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,group,class,_eventid,__metadata__,srccountry,srccountrycode,srccity,srcdomain,srcisp,srclatitude,srclongitude,srcregion,srcusagetype,meta_cbname,length,eventid,description,protocol,dstipv4,action,dstcountry,dstcountrycode,dstcity,dstdomain,dstisp,dstlatitude,dstlongitude,dstregion,dstusagetype,reason,rateval,ratemax,rateid,rateavg,policy,count,ipv4,interface,number,duration,sentpackets,sentbytes,peer,srcport,localinterface,dstport,rcvdpackets,rcvdbytes
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:14:27.044Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:14:27,28066907428,1,0.0.0.0/514/udp,2b03-688eb0524,11011,global.com,cisco_asa_threat_detection,0b9fc831-edcf-44f9-8415-5aedb0695246#2595,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#2595"",""num_events"":2898,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2594,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:14:27.939Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:14:27,28066909183,1,0.0.0.0/514/udp,2b03-688eb0bff,11011,global.com,cisco_asa_threat_detection,898c0f7a-cc86-4960-9400-b4ff7dae72e1#1163,"{""id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1#1163"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1162,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,172.21.15.12,127.0.0.1,: %ASA-7-713906: IKE Receiver: Packet received on 199.255.154.12:500 from 66.171.66.14:500,%ASA-7-713906,ike receiver: packet received on 199.255.154.12:500 from 66.171.66.14:500,firewall,2017-05-08T15:18:59.844Z,514,172.21.15.12,cisco_asa_threat_detection-1524236100,116,<167>May 08 2017 11:18:59,28067326185,1,0.0.0.0/514/udp,2b03-688f168e9,11011, ,cisco_asa_threat_detection,898c0f7a-cc86-4960-9400-b4ff7dae72e1#2133,"{""id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1#2133"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2132,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , , , , , , ,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,66.171.66.14, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 66.171.66.14, IKE_DECODE RECEIVED Message (msgid=72b0fab1) with payloads : HDR + HASH (8) + NOTIFY (11) + NONE (0) total length : 84",%ASA-7-713236,ike_decode received message with payloads : hdr + hash (8) + notify (11) + none (0),"firewall,ids",2017-05-08T15:18:59.844Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,180,<167>May 08 2017 11:18:59,28067326186,1,0.0.0.0/514/udp,2b03-688f168ea,11011, ,cisco_asa_threat_detection,898c0f7a-cc86-4960-9400-b4ff7dae72e1#2134,"{""id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1#2134"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""898c0f7a-cc86-4960-9400-b4ff7dae72e1"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2133,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,commack,invision.com,invision.com inc.,40.84149169921875,-73.28043365478516,new york,dch,11011,84,72b0fab1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:20:56.845Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:20:56,28067522184,1,0.0.0.0/514/udp,2b03-688f46688,11011,global.com,cisco_asa_threat_detection,6e5e6547-dbda-4f60-8e48-4280d2f4b6be#2524,"{""id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be#2524"",""num_events"":2981,""data_type"":""passthrough"",""batch_id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2523,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s.smith,1406,103.219.242.4,1486,172.21.15.12,127.0.0.1,: %ASA-6-722036: Group <global.com> User <s.smith> IP <103.219.242.4> Transmitting large packet 1486 (threshold 1406).,%ASA-6-722036,transmitting large packet,firewall,2017-05-08T15:20:56.845Z,514,172.21.15.12,cisco_asa_threat_detection-3519195218,148,<166>May 08 2017 11:20:56,28067522185,1,0.0.0.0/514/udp,2b03-688f46689,11011,global.com,cisco_asa_threat_detection,6e5e6547-dbda-4f60-8e48-4280d2f4b6be#2525,"{""id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be#2525"",""num_events"":2981,""data_type"":""passthrough"",""batch_id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2524,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",india,in,hyderabad,cigniti.com,cigniti technologies limited,17.375280380249023,78.47444152832031,telangana,com,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,172.21.15.12,127.0.0.1,: %ASA-7-713906: IKE Receiver: Packet received on 199.255.154.12:500 from 104.214.68.55:500,%ASA-7-713906,ike receiver: packet received on 199.255.154.12:500 from 104.214.68.55:500,firewall,2017-05-08T15:10:50.532Z,514,172.21.15.12,cisco_asa_threat_detection-1524236100,117,<167>May 08 2017 11:10:50,28066529847,1,0.0.0.0/514/udp,2b03-688e54237,11011, ,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#156,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#156"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":155,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , , , , , , ,11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 104.214.68.55, IKE_DECODE RECEIVED Message (msgid=0) with payloads : HDR + KE (4) + NONCE (10) + NAT-D (20) + NAT-D (20) + NONE (0) total length : 260",%ASA-7-713236,ike_decode received message with payloads : hdr + ke (4) + nonce (10) + nat-d (20) + nat-d (20) + none (0),"firewall,ids",2017-05-08T15:10:50.575Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,198,<167>May 08 2017 11:10:50,28066529949,1,0.0.0.0/514/udp,2b03-688e5429d,11011, ,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#182,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#182"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":181,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011,260,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,184.106.122.142, ,172.21.15.12,127.0.0.1,": %ASA-7-713225: Group = 184.106.122.142, IP = 184.106.122.142, Static Crypto Map check, map MindSpring, seq = 6 is a successful match",%ASA-7-713225,static crypto map check,"firewall,ids",2017-05-08T15:07:58.338Z,514,172.21.15.12,cisco_asa_threat_detection-3552148206,160,<167>May 08 2017 11:07:58,28066226567,1,0.0.0.0/514/udp,2b03-688e0a187,11011,184.106.122.142,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#450,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#450"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":449,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,chicago,rackspace.com,core one-hour servers,41.85002899169922,-87.6500473022461,illinois,dch,11011, , ,"map mindspring, seq = 6 is a successful match", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,104.214.68.55, ,172.21.15.12,127.0.0.1,": %ASA-7-713236: IP = 104.214.68.55, IKE_DECODE RECEIVED Message (msgid=0) with payloads : HDR + ID (5) + HASH (8) + NONE (0) total length : 64",%ASA-7-713236,ike_decode received message with payloads : hdr + id (5) + hash (8) + none (0),"firewall,ids",2017-05-08T15:10:50.612Z,514,172.21.15.12,cisco_asa_threat_detection-2169620772,169,<167>May 08 2017 11:10:50,28066530061,1,0.0.0.0/514/udp,2b03-688e5430d,11011, ,cisco_asa_threat_detection,4170eb82-7f89-4e3d-bccf-f7f70ece5225#494,"{""id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225#494"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""4170eb82-7f89-4e3d-bccf-f7f70ece5225"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":493,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,san antonio,microsoft.com,microsoft corporation,29.42411994934082,-98.4936294555664,texas,ses,11011,64,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
