tunnelparents,srcport,srcipv4,sentpackets,sentipbytes,sentbytes,rcvdpackets,rcvdipbytes,rcvdbytes,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,missingbytes,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,localorig,local_resp,history,eventtimeutc,duration,dstport,dstipv4,connstate,connectionid,class,_eventid,__metadata__,srccountry,srccountrycode,srccity,srcdomain,srcisp,srclatitude,srclongitude,srcregion,srcusagetype,dstcountry,dstcountrycode,dstcity,dstdomain,dstisp,dstlatitude,dstlongitude,dstregion,dstusagetype,meta_cbname,msr_ruleids,service
(empty),50163,199.255.153.253,4,172,0,2,92,0,gcbrw0699,127.0.0.1,1494258108.785625	CcPzjJ1cazOkRzTyee	199.255.153.253	50163	72.21.91.29	80	tcp	-	5.299028	0	0	SF	F	F	0	ShAgc	4	172	2	92	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:41:59.278Z,39050,127.0.0.1,bro_conn-1830426979,168,<13>May  8 15:41:59 gcBRW0699 bro25_conn: ,4078368315,1,0.0.0.0/514/tcp,2b04-f316f63b,11012,false,false,shagc,2017-05-08T15:41:48.785Z,5.299028,80,72.21.91.29,sf,ccpzjj1cazokrztyee,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#656,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#656"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":655,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,new york city,global.com,global com,40.752193450927734,-73.9742202758789,new york,org,united states,us,ashburn,verizon.com,verizon communications inc.,39.034080505371094,-77.4885025024414,virginia,isp/mob,11012, , 
(empty),26827,192.168.42.10,117,16286,10194,124,20408,13952,gcind0699,127.0.0.1,1494257957.510760	CDMlD41YgC4z8JKv6h	192.168.42.10	26827	192.168.21.10	7800	tcp	-	29.333723	10194	13952	SF	T	T	0	ShADadgc	117	16286	124	20408	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:39:54.843Z,32774,127.0.0.1,bro_conn-1830426979,191,<13>May  8 15:39:54 gcIND0699 bro25_conn: ,314106442,1,0.0.0.0/514/tcp,2afe-12b8e24a,11006,true,true,shadadgc,1970-01-01T00:24:54.257Z,29.333723,7800,192.168.21.10,sf,cdmld41ygc4z8jkv6h,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#694,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#694"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":693,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11006,"[""1.1.2430""]", 
(empty),63248,172.20.36.158,1,64,0,0,0,0,gcbra0699,127.0.0.1,1494257992.089871	CSzGIL2fbzuTLinu59	172.20.36.158	63248	172.22.19.22	443	tcp	-	-	-	-	S0	T	T	0	S	1	64	0	0	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:39:55.058Z,45205,127.0.0.1,bro_conn-1830426979,155,<13>May  8 15:39:55 gcBRA0699 bro25_conn: ,6521294430,1,0.0.0.0/514/tcp,2af9-184b30e5e,11001,true,true,s,2017-05-08T15:39:52.089Z, ,443,172.22.19.22,s0,cszgil2fbzutlinu59,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#707,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#707"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":706,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11001, , 
(empty),63248,172.20.36.158,1,64,0,0,0,0,gcbra0699,127.0.0.1,1494257992.571032	CrEkYm11ovO6AwfJr2	172.20.36.158	63248	172.22.19.22	443	tcp	-	-	-	-	S0	T	T	0	S	1	64	0	0	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:39:55.058Z,45205,127.0.0.1,bro_conn-1830426979,155,<13>May  8 15:39:55 gcBRA0699 bro25_conn: ,6521294431,1,0.0.0.0/514/tcp,2af9-184b30e5f,11001,true,true,s,2017-05-08T15:39:52.571Z, ,443,172.22.19.22,s0,crekym11ovo6awfjr2,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#708,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#708"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":707,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11001, , 
(empty),63248,172.20.36.158,1,64,0,0,0,0,gcbra0699,127.0.0.1,1494257992.571510	CY9n9a1xhehBRhxDSh	172.20.36.158	63248	172.22.19.22	443	tcp	-	-	-	-	S0	T	T	0	S	1	64	0	0	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:39:55.058Z,45205,127.0.0.1,bro_conn-1830426979,155,<13>May  8 15:39:55 gcBRA0699 bro25_conn: ,6521294434,1,0.0.0.0/514/tcp,2af9-184b30e62,11001,true,true,s,1970-01-01T00:24:54.257Z, ,443,172.22.19.22,s0,cy9n9a1xhehbrhxdsh,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#709,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#709"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":708,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11001, , 
(empty),52829,199.255.153.253,10,4713,4300,9,907,523,gcbrw0699,127.0.0.1,1494258064.759484	CaTlBk3Y96FATuAQU8	199.255.153.253	52829	104.16.23.235	80	tcp	http	49.318258	4300	523	SF	F	F	0	ShADadgc	10	4713	9	907	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:42:00.280Z,39050,127.0.0.1,bro_conn-1830426979,185,<13>May  8 15:42:00 gcBRW0699 bro25_conn: ,4078368514,1,0.0.0.0/514/tcp,2b04-f316f702,11012,false,false,shadadgc,2017-05-08T15:41:04.759Z,49.318258,80,104.16.23.235,sf,catlbk3y96fatuaqu8,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#729,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#729"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":728,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,new york city,global.com,global com,40.752193450927734,-73.9742202758789,new york,org,united states,us,san francisco,cloudflare.com,cloudflare inc.,37.775699615478516,-122.39520263671875,california,cdn,11012, ,http
(empty),58675,199.255.153.253,7366,383640,620,49016,73417083,70894307,gcbrw0699,127.0.0.1,1494258054.461623	CTWHx73zSCBHAYpzU4	199.255.153.253	58675	151.101.64.102	443	tcp	ssl	59.907645	620	70894307	SF	F	F	26064	ShADdagcR	7366	383640	49016	73417083	(empty),tcp,bro25_conn,26064,connection,2017-05-08T15:42:00.280Z,39050,127.0.0.1,bro_conn-1830426979,208,<13>May  8 15:42:00 gcBRW0699 bro25_conn: ,4078368527,1,0.0.0.0/514/tcp,2b04-f316f70f,11012,false,false,shaddagcr,2017-05-08T15:40:54.461Z,59.907645,443,151.101.64.102,sf,ctwhx73zscbhaypzu4,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#731,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#731"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":730,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",united states,us,new york city,global.com,global com,40.752193450927734,-73.9742202758789,new york,org,united states,us,san francisco,fastly.com,fastly,37.775699615478516,-122.39520263671875,california,cdn,11012, ,ssl
(empty),11093,172.20.50.71,2,188,132,0,0,0,gczaf0699,127.0.0.1,1494256735.698570	ClBp0o2plFsDqzYAb6	172.20.50.71	11093	172.21.30.71	902	udp	-	0.001508	132	0	S0	T	T	0	D	2	188	0	0	(empty),udp,bro25_conn,0,connection,2017-05-08T15:19:58.056Z,36462,127.0.0.1,bro_conn-1830426979,164,<13>May  8 15:19:58 gcZAF0699 bro25_conn: ,265116404,1,0.0.0.0/514/tcp,2b02-fcd5af4,11010,true,true,d,1970-01-01T00:24:54.256Z,0.001508,902,172.21.30.71,s0,clbp0o2plfsdqzyab6,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#734,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#734"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":733,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11010, , 
(empty),56443,172.20.50.159,78,85116,40984,75,6736,1856,gczaf0699,127.0.0.1,1494256788.504360	CjveSgFbp3wz7WaZ4	172.20.50.159	56443	172.21.220.13	443	tcp	ssl	2.291339	40984	1856	SF	T	T	0	ShADadgcgcFr	78	85116	75	6736	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:19:58.056Z,36462,127.0.0.1,bro_conn-1830426979,190,<13>May  8 15:19:58 gcZAF0699 bro25_conn: ,265116405,1,0.0.0.0/514/tcp,2b02-fcd5af5,11010,true,true,shadadgcgcfr,1970-01-01T00:24:54.256Z,2.291339,443,172.21.220.13,sf,cjvesgfbp3wz7waz4,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#735,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#735"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":734,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11010, ,ssl
(empty),39218,172.21.25.80,1,64,0,3,136,0,gcidn0699,127.0.0.1,1494257874.466381	CkHjZd3qHNpcaZu3pj	172.21.25.80	39218	172.20.244.16	2608	tcp	-	0.000816	0	0	RSTR	T	T	0	Shrh	1	64	3	136	(empty),tcp,bro25_conn,0,connection,2017-05-08T15:38:00.784Z,50812,127.0.0.1,bro_conn-1830426979,170,<13>May  8 15:38:00 gcIDN0699 bro25_conn: ,6467238888,1,0.0.0.0/514/tcp,2afd-1817a3be8,11005,true,true,shrh,2017-05-08T15:37:54.466Z,0.000816,2608,172.20.244.16,rstr,ckhjzd3qhnpcazu3pj,bro_conn,df4gcb98-94d7-4fcc-b61f-30da28e93808#743,"{""id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808#743"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""df4gcb98-94d7-4fcc-b61f-30da28e93808"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":742,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , , , ,private ip address lan, , , ,rsv, , , , ,private ip address lan, , , ,rsv,11005, , 
