version,srcipv4,srchost,rawmsghostname,rawmsghostipv4,rawmsg,policy,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,filetype,eventtime,class,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,username,process,hash,filepath,filename,rule,application,severity,sensor,reason,product,md5,manufacturer,hostname,group,firstseen,eventtype,description,createdtime,starttime,query,lastmodifiedtime
8.0.0.2146,172.20.80.132,globalcom\colws5545,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""Cb Protection Agent has started, version 8.0.0.2146 (Patch 3) Boot[5/8/2017 8:18:22 AM] DriverStart[5/8/2017 8:18:24 AM] ServiceStart[5/8/2017 10:41:23 AM] Running[5/8/2017 10:41:30 AM] DBStatus[Success] Corrections[0:00000000] Prior[5/8/2017 10:39:13 AM-5/5/2017 6:50:33 PM] Level[D:0 K:2] Dumps[0:Never] System[Never]."" type=""Computer Management"" subtype=""Agent restart"" hostname=""globalcom\COLWS5545"" date=""5/8/2017 3:41:30 PM"" ip_address=""172.20.80.132"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146""",high enforcement - workstations,"cb protection agent has started, version 8.0.0.2146 (patch 3) boot[5/8/2017 8:18:22 am] driverstart[5/8/2017 8:18:24 am] servicestart[5/8/2017 10:41:23 am] running[5/8/2017 10:41:30 am] dbstatus[success] corrections[0:00000000] prior[5/8/2017 10:39:13 am-5/5/2017 6:50:33 pm] level[d:0 k:2] dumps[0:never] system[never].",antivirus,2017-05-08T15:41:58.325Z,52803,172.21.25.11,carbonblack_er-3695217356,603,<14>May 08 15:41:58 gcSMQ0205.global.com ,28070019772,1,0.0.0.0/514/udp,2b03-6891a82bc,11011,computer management-agent restart,2017-05-08T15:41:30.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2580,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2580"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2579,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.33.61,globalcom\nyclt4717,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""Cb Protection Agent detected a problem: Agent has 6158 events the database PruningThreshold[5000]. Options[00000003] TotalFailures[2] FailureId[881]"" type=""Computer Management"" subtype=""Agent health check"" hostname=""globalcom\NYCLT4717"" date=""5/8/2017 3:40:51 PM"" ip_address=""172.24.33.61"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146""",high enforcement - workstations,cb protection agent detected a problem: agent has 6158 events the database pruningthreshold[5000]. options[00000003] totalfailures[2] failureid[881],antivirus,2017-05-08T15:41:58.334Z,52803,172.21.25.11,carbonblack_er-3695217356,435,<14>May 08 15:41:58 gcSMQ0205.global.com ,28070019782,1,0.0.0.0/514/udp,2b03-6891a82c6,11011,computer management-agent health check,2017-05-08T15:40:51.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2585,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2585"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2584,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.33.229,globalcom\nyclt5363,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\windows\assembly\nativeimages_v2.0.50727_64\temp\zapf23d.tmp\microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll' [ca6d28e8d56f41fa4efcf8f7d604a2185d74fe0474164fac8a8011976870b54a] was loaded in the Process[mscorsvw.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[5/1/2017 9:15:33 AM] Process[5/1/2017 9:15:32 AM-5/1/2017 9:15:33 AM] Boot[5/4/2017 10:23:42 PM] DriverStart[5/1/2017 6:49:17 AM] ServiceStart[5/8/2017 11:39:23 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCLT5363"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:40:59 PM"" ip_address=""172.24.33.229"" process=""c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe"" file_path=""c:\windows\assembly\nativeimages_v2.0.50727_64\temp\zapf23d.tmp\microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll"" file_name=""microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll"" file_hash=""ca6d28e8d56f41fa4efcf8f7d604a2185d74fe0474164fac8a8011976870b54a"" policy=""High Enforcement - Workstations"" process_key=""00000145-0000-0718-01d2-c27d02e21fce"" server_version=""8.0.0.2146"" file_trust=""1"" file_threat=""0"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\windows\assembly\nativeimages_v2.0.50727_64\temp\zapf23d.tmp\microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll' [ca6d28e8d56f41fa4efcf8f7d604a2185d74fe0474164fac8a8011976870b54a] was loaded in the process[mscorsvw.exe] but could not be analyzed (file is no longer on disk). imageloaded[5/1/2017 9:15:33 am] process[5/1/2017 9:15:32 am-5/1/2017 9:15:33 am] boot[5/4/2017 10:23:42 pm] driverstart[5/1/2017 6:49:17 am] servicestart[5/8/2017 11:39:23 am],antivirus,2017-05-08T15:41:58.372Z,52803,172.21.25.11,carbonblack_er-49280733,1321,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019822,1,0.0.0.0/514/udp,2b03-6891a82ee,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:40:59.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2590,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2590"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2589,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe,ca6d28e8d56f41fa4efcf8f7d604a2185d74fe0474164fac8a8011976870b54a,c:\windows\assembly\nativeimages_v2.0.50727_64\temp\zapf23d.tmp\microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll,microsoft.visualstudio.tools.applications.addinadapter.v10.0.dll, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.33.229,globalcom\nyclt5363,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\windows\assembly\nativeimages_v2.0.50727_32\temp\zap5f22.tmp\napinit.dll' [gc15d7ce1232bde6d901c56626fb8426f62b29af67167a8e0154575157e7c14b] was loaded in the Process[mscorsvw.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[5/1/2017 9:28:01 AM] Process[5/1/2017 9:28:01 AM-5/1/2017 9:28:02 AM] Boot[5/4/2017 10:23:42 PM] DriverStart[5/1/2017 6:49:17 AM] ServiceStart[5/8/2017 11:39:23 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCLT5363"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:40:59 PM"" ip_address=""172.24.33.229"" process=""c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe"" file_path=""c:\windows\assembly\nativeimages_v2.0.50727_32\temp\zap5f22.tmp\napinit.dll"" file_name=""napinit.dll"" file_hash=""gc15d7ce1232bde6d901c56626fb8426f62b29af67167a8e0154575157e7c14b"" policy=""High Enforcement - Workstations"" process_key=""00000145-0000-09b8-01d2-c27ec14c713e"" server_version=""8.0.0.2146"" file_trust=""-1"" file_threat=""-1"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\windows\assembly\nativeimages_v2.0.50727_32\temp\zap5f22.tmp\napinit.dll' [gc15d7ce1232bde6d901c56626fb8426f62b29af67167a8e0154575157e7c14b] was loaded in the process[mscorsvw.exe] but could not be analyzed (file is no longer on disk). imageloaded[5/1/2017 9:28:01 am] process[5/1/2017 9:28:01 am-5/1/2017 9:28:02 am] boot[5/4/2017 10:23:42 pm] driverstart[5/1/2017 6:49:17 am] servicestart[5/8/2017 11:39:23 am],antivirus,2017-05-08T15:41:58.374Z,52803,172.21.25.11,carbonblack_er-49280733,1162,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019824,1,0.0.0.0/514/udp,2b03-6891a82f0,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:40:59.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2591,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2591"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2590,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe,gc15d7ce1232bde6d901c56626fb8426f62b29af67167a8e0154575157e7c14b,c:\windows\assembly\nativeimages_v2.0.50727_32\temp\zap5f22.tmp\napinit.dll,napinit.dll, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.3.40,globalcom\nycws4792,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\bashdefs\20170424.001\bhdrvx64.sys' [8291fa9e15258ae32ba3e53831980fc0cb588485de6d15b3f1b9af50dfc682ca] was loaded in the Process[ntoskrnl.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[4/29/2017 11:05:28 PM] Process[Unknown-Still Running] Boot[4/29/2017 11:05:23 PM] DriverStart[4/29/2017 11:05:25 PM] ServiceStart[5/8/2017 11:39:12 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCWS4792"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:40:52 PM"" ip_address=""172.24.3.40"" process=""c:\windows\system32\ntoskrnl.exe"" file_path=""c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\bashdefs\20170424.001\bhdrvx64.sys"" file_name=""bhdrvx64.sys"" file_hash=""8291fa9e15258ae32ba3e53831980fc0cb588485de6d15b3f1b9af50dfc682ca"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146"" file_trust=""10"" file_threat=""0"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\bashdefs\20170424.001\bhdrvx64.sys' [8291fa9e15258ae32ba3e53831980fc0cb588485de6d15b3f1b9af50dfc682ca] was loaded in the process[ntoskrnl.exe] but could not be analyzed (file is no longer on disk). imageloaded[4/29/2017 11:05:28 pm] process[unknown-still running] boot[4/29/2017 11:05:23 pm] driverstart[4/29/2017 11:05:25 pm] servicestart[5/8/2017 11:39:12 am],antivirus,2017-05-08T15:41:58.380Z,52803,172.21.25.11,carbonblack_er-3809752813,1166,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019828,1,0.0.0.0/514/udp,2b03-6891a82f4,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:40:52.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2593,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2593"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2592,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\system32\ntoskrnl.exe,8291fa9e15258ae32ba3e53831980fc0cb588485de6d15b3f1b9af50dfc682ca,c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\bashdefs\20170424.001\bhdrvx64.sys,bhdrvx64.sys, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.3.40,globalcom\nycws4792,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170429.001\eng64.sys' [3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb] was loaded in the Process[ntoskrnl.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[4/29/2017 11:05:27 PM] Process[Unknown-Still Running] Boot[4/29/2017 11:05:23 PM] DriverStart[4/29/2017 11:05:25 PM] ServiceStart[5/8/2017 11:39:12 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCWS4792"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:40:52 PM"" ip_address=""172.24.3.40"" process=""c:\windows\system32\ntoskrnl.exe"" file_path=""c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170429.001\eng64.sys"" file_name=""eng64.sys"" file_hash=""3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146"" file_trust=""10"" file_threat=""0"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170429.001\eng64.sys' [3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb] was loaded in the process[ntoskrnl.exe] but could not be analyzed (file is no longer on disk). imageloaded[4/29/2017 11:05:27 pm] process[unknown-still running] boot[4/29/2017 11:05:23 pm] driverstart[4/29/2017 11:05:25 pm] servicestart[5/8/2017 11:39:12 am],antivirus,2017-05-08T15:41:58.382Z,52803,172.21.25.11,carbonblack_er-3809752813,1159,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019830,1,0.0.0.0/514/udp,2b03-6891a82f6,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:40:52.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2594,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2594"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2593,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\system32\ntoskrnl.exe,3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb,c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170429.001\eng64.sys,eng64.sys, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.20.36.163,globalcom\brawst2147,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""Cache consistency check started Level[Full scan of new files] Options[USN journal] Type[3] Flags[00000400] Number[1]"" type=""Computer Management"" subtype=""Cache check start"" hostname=""globalcom\BRAWST2147"" date=""5/8/2017 3:41:02 PM"" ip_address=""172.20.36.163"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146""",high enforcement - workstations,cache consistency check started level[full scan of new files] options[usn journal] type[3] flags[00000400] number[1],antivirus,2017-05-08T15:41:58.412Z,52803,172.21.25.11,carbonblack_er-3695217356,404,<14>May 08 15:41:58 gcSMQ0205.global.com ,28070019864,1,0.0.0.0/514/udp,2b03-6891a8318,11011,computer management-cache check start,2017-05-08T15:41:02.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2596,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2596"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2595,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.32.182,globalcom\nyclt4696c,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.018\eng64.sys' [3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb] was loaded in the Process[ntoskrnl.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[5/3/2017 11:58:15 PM] Process[Unknown-Still Running] Boot[5/7/2017 1:57:43 PM] DriverStart[5/3/2017 10:26:46 AM] ServiceStart[5/8/2017 11:39:51 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCLT4696C"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:41:28 PM"" ip_address=""172.24.32.182"" process=""c:\windows\system32\ntoskrnl.exe"" file_path=""c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.018\eng64.sys"" file_name=""eng64.sys"" file_hash=""3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146"" file_trust=""10"" file_threat=""0"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.018\eng64.sys' [3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb] was loaded in the process[ntoskrnl.exe] but could not be analyzed (file is no longer on disk). imageloaded[5/3/2017 11:58:15 pm] process[unknown-still running] boot[5/7/2017 1:57:43 pm] driverstart[5/3/2017 10:26:46 am] servicestart[5/8/2017 11:39:51 am],antivirus,2017-05-08T15:41:58.414Z,52803,172.21.25.11,carbonblack_er-3809752813,1158,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019866,1,0.0.0.0/514/udp,2b03-6891a831a,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:41:28.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2597,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2597"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2596,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\system32\ntoskrnl.exe,3ba9a874fe9cb4547de2f6b5f8c5907c7c0e6gc85799255cefd1225849c3cecb,c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.018\eng64.sys,eng64.sys, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.32.182,globalcom\nyclt4696c,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""The file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.001\ex64.sys' [1a27e5f2d4eb526953f8d2bf2250a83851cbc47882f66864ebce60dgc6e45d0f] was loaded in the Process[ntoskrnl.exe] but could not be analyzed (File is no longer on disk). ImageLoaded[5/3/2017 10:26:48 AM] Process[Unknown-Still Running] Boot[5/7/2017 1:57:43 PM] DriverStart[5/3/2017 10:26:46 AM] ServiceStart[5/8/2017 11:39:51 AM]"" type=""Policy Enforcement"" subtype=""Execution allowed (Unanalyzed file loaded before service)"" hostname=""globalcom\NYCLT4696C"" username=""NT AUTHORITY\SYSTEM"" date=""5/8/2017 3:41:28 PM"" ip_address=""172.24.32.182"" process=""c:\windows\system32\ntoskrnl.exe"" file_path=""c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.001\ex64.sys"" file_name=""ex64.sys"" file_hash=""1a27e5f2d4eb526953f8d2bf2250a83851cbc47882f66864ebce60dgc6e45d0f"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146"" file_trust=""10"" file_threat=""0"" process_trust=""10"" process_threat=""0""",high enforcement - workstations,the file 'c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.001\ex64.sys' [1a27e5f2d4eb526953f8d2bf2250a83851cbc47882f66864ebce60dgc6e45d0f] was loaded in the process[ntoskrnl.exe] but could not be analyzed (file is no longer on disk). imageloaded[5/3/2017 10:26:48 am] process[unknown-still running] boot[5/7/2017 1:57:43 pm] driverstart[5/3/2017 10:26:46 am] servicestart[5/8/2017 11:39:51 am],antivirus,2017-05-08T15:41:58.418Z,52803,172.21.25.11,carbonblack_er-3809752813,1155,<12>May 08 15:41:58 gcSMQ0205.global.com ,28070019870,1,0.0.0.0/514/udp,2b03-6891a831e,11011,policy enforcement-execution allowed (unanalyzed file loaded before service),2017-05-08T15:41:28.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2599,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2599"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2598,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,nt authority\system,c:\windows\system32\ntoskrnl.exe,1a27e5f2d4eb526953f8d2bf2250a83851cbc47882f66864ebce60dgc6e45d0f,c:\programdata\symantec\symantec endpoint protection\12.1.7166.6700.105\data\definitions\virusdefs\20170503.001\ex64.sys,ex64.sys, , , , , , , , , , , , , , , , , 
8.0.0.2146,172.24.32.197,globalcom\nycmlt4772b,gcsmq0205.global.com,127.0.0.1,"Cb Protection event:  text=""Cb Protection Agent detected a problem: Unable to enforce write block: Drive[C:\] Volume[\\?\Volume{5d0ba7be-36f0-11e5-9bb5-806e6f6e6963}\] DriveType[Fixed] FileSystem[1]. Options[00000003] TotalFailures[2] FailureId[500]"" type=""Computer Management"" subtype=""Agent health check"" hostname=""globalcom\NYCMLT4772B"" date=""5/8/2017 3:41:35 PM"" ip_address=""172.24.32.197"" policy=""High Enforcement - Workstations"" server_version=""8.0.0.2146""",high enforcement - workstations,cb protection agent detected a problem: unable to enforce write block: drive[c:\] volume[\\?\volume{5d0ba7be-36f0-11e5-9bb5-806e6f6e6963}\] drivetype[fixed] filesystem[1]. options[00000003] totalfailures[2] failureid[500],antivirus,2017-05-08T15:41:58.424Z,52803,172.21.25.11,carbonblack_er-3695217356,511,<13>May 08 15:41:58 gcSMQ0205.global.com ,28070019881,1,0.0.0.0/514/udp,2b03-6891a8329,11011,computer management-agent health check,2017-05-08T15:41:35.000Z,carbonblack_er,77d3f4f3-bac0-4917-89df-3ad3bf199f61#2604,"{""id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61#2604"",""num_events"":2617,""data_type"":""passthrough"",""batch_id"":""77d3f4f3-bac0-4917-89df-3ad3bf199f61"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2603,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , , , , , , , 
