srcipv4,result,rawmsghostname,rawmsghostipv4,rawmsg,querytypename,protocol,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,flagval,domain,direction,class,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,program,query
172.24.33.40,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:08 AM 0EB0 PACKET  0000002233BAC1B0 UDP Rcv 172.24.33.40    fddb   Q [0001   D   NOERROR] A      (2)ib(5)3lift(3)com(0),a,udp,"windows,dns",2017-05-08T15:18:21.615Z,58733,172.24.19.20,ms_dns-1323478756,178,<13>May  8 11:16:16 gcBRW0000.global.com ,4077564781,1,0.0.0.0/514/tcp,2b04-f30ab36d,11012,0000002233bac1b0,ib.3lift.com,rcv,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#60,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#60"",""num_events"":2997,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":59,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
172.24.220.20,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:08 AM 0EAC PACKET  00000022325A4180 UDP Snd 172.24.220.20   8956   Q [0001   D   NOERROR] A      (24)sponsoredapartmentsearch(3)com(0),a,udp,"windows,dns",2017-05-08T15:18:21.617Z,58733,172.24.19.20,ms_dns-2499431055,193,<13>May  8 11:16:16 gcBRW0000.global.com ,4077564839,1,0.0.0.0/514/tcp,2b04-f30ab3a7,11012,00000022325a4180,sponsoredapartmentsearch.com,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#71,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#71"",""num_events"":2993,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":70,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
172.24.220.20,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:09 AM 0EB0 PACKET  00000022338D41B0 UDP Rcv 172.24.220.20   76dc R Q [8081   DR  NOERROR] A      (9)googleads(1)g(11)doubleclick(3)net(0),a,udp,"windows,dns",2017-05-08T15:18:21.628Z,58733,172.24.19.20,ms_dns-2673042250,196,<13>May  8 11:16:16 gcBRW0000.global.com ,4077565109,1,0.0.0.0/514/tcp,2b04-f30ab4b5,11012,00000022338d41b0,googleads.g.doubleclick.net,rcv,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#94,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#94"",""num_events"":2981,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":93,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
172.21.215.222,noerror,gcnyc-60-010.global.com,127.0.0.1,5/8/2017 11:24:22 AM 0CC0 PACKET  0000006270B901A0 UDP Rcv 172.21.215.222  egcf   Q [0001   D   NOERROR] A      (1)t(7)wayfair(3)com(0),a,udp,"windows,dns",2017-05-08T15:24:25.870Z,51403,172.21.14.26,ms_dns-3391797493,190,<13>May  8 11:24:25 gcNYC-60-010.global.com MS_DNS: ,28067909423,0,0.0.0.0/514/tcp,2b03-688fa4f2f,11011,0000006270b901a0,t.wayfair.com,rcv,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#205,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#205"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":204,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,MS_DNS, 
172.21.215.222,noerror,gcnyc-60-010.global.com,127.0.0.1,5/8/2017 11:24:24 AM 0CBC PACKET  00000062725301B0 UDP Rcv 172.21.215.222  d8e6   Q [0001   D   NOERROR] A      (10)impression(14)mediaiqdigital(3)com(0),a,udp,"windows,dns",2017-05-08T15:24:25.874Z,51403,172.21.14.26,ms_dns-3391797493,208,<13>May  8 11:24:25 gcNYC-60-010.global.com MS_DNS: ,28067909566,0,0.0.0.0/514/tcp,2b03-688fa4fbe,11011,00000062725301b0,impression.mediaiqdigital.com,rcv,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#215,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#215"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":214,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,MS_DNS, 
172.21.215.222,noerror,gcnyc-60-010.global.com,127.0.0.1,5/8/2017 11:24:25 AM 0CBC PACKET  0000006270A96210 UDP Snd 172.21.215.222  7551 R Q [8081   DR  NOERROR] A      (3)cdn(15)adsafeprotected(3)com(0),a,udp,"windows,dns",2017-05-08T15:24:25.882Z,51403,172.21.14.26,ms_dns-3391797493,201,<13>May  8 11:24:25 gcNYC-60-010.global.com MS_DNS: ,28067909672,0,0.0.0.0/514/tcp,2b03-688fa5028,11011,0000006270a96210,cdn.adsafeprotected.com,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#221,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#221"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":220,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,MS_DNS, 
172.21.30.11,noerror,gcnyc-60-010.global.com,127.0.0.1,5/8/2017 11:24:25 AM 0CBC PACKET  00000062725DE100 UDP Snd 172.21.30.11    2548 R Q [8081   DR  NOERROR] A      (3)cs9(3)wac(6)phicdn(3)net(0),a,udp,"windows,dns",2017-05-08T15:24:25.882Z,51403,172.21.14.26,ms_dns-3795426264,197,<13>May  8 11:24:25 gcNYC-60-010.global.com MS_DNS: ,28067909676,0,0.0.0.0/514/tcp,2b03-688fa502c,11011,00000062725de100,cs9.wac.phicdn.net,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#222,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#222"",""num_events"":2976,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":221,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,MS_DNS, 
172.24.220.20,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:09 AM 0EAC PACKET  0000002233B460A0 UDP Snd 172.24.220.20   0ea6   Q [0001   D   NOERROR] A      (13)theviraldance(3)com(0),a,udp,"windows,dns",2017-05-08T15:18:21.629Z,58733,172.24.19.20,ms_dns-2499431055,182,<13>May  8 11:16:16 gcBRW0000.global.com ,4077565155,1,0.0.0.0/514/tcp,2b04-f30ab4e3,11012,0000002233b460a0,theviraldance.com,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#405,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#405"",""num_events"":2973,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":404,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
172.24.33.40,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:11 AM 0EAC PACKET  00000022330C81E0 UDP Snd 172.24.33.40    51a5 R Q [8081   DR  NOERROR] A      (3)eb2(5)3lift(3)com(0),a,udp,"windows,dns",2017-05-08T15:18:21.640Z,58733,172.24.19.20,ms_dns-1323478756,179,<13>May  8 11:16:16 gcBRW0000.global.com ,4077565467,1,0.0.0.0/514/tcp,2b04-f30ab61b,11012,00000022330c81e0,eb2.3lift.com,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#436,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#436"",""num_events"":2949,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":435,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
172.24.33.217,noerror,gcbrw0000.global.com,127.0.0.1,5/8/2017 11:16:11 AM 0EB0 PACKET  00000022330C81E0 UDP Snd 172.24.33.217   c849 R Q [8081   DR  NOERROR] A      (3)www(7)gstatic(3)com(0),a,udp,"windows,dns",2017-05-08T15:18:21.641Z,58733,172.24.19.20,ms_dns-1323478756,181,<13>May  8 11:16:16 gcBRW0000.global.com ,4077565507,1,0.0.0.0/514/tcp,2b04-f30ab643,11012,00000022330c81e0,www.gstatic.com,snd,ms_dns,0b9fc831-edcf-44f9-8415-5aedb0695246#443,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#443"",""num_events"":2946,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":442,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11012, , 
