timezone,srcipv4,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,eventtype,eventtime,dsthost,class,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,srcport,responsecode,response,requestid,username,dstipv4,dstisp,dstusagetype,reason,result,description,uri,httpmethod,dstport,domain,uri_parsed
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:24:27-0400 [DuoForwardServer (UDP)] Sending request from 172.20.41.6 to radius_server_auto4,udp,DUO,sending request,auth,2017-05-08T15:24:27.459Z,57868,172.21.25.46,duo_auth-195892805,154,<13>May  8 11:24:27 gcSMQ0646.global.com DUO: ,28067912911,0,0.0.0.0/514/tcp,2b03-688fa5ccf,11011,duoforwardserver,2017-05-08T11:24:27.000Z,radius_server_auto4,duo_auth,0b9fc831-edcf-44f9-8415-5aedb0695246#2228,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#2228"",""num_events"":2898,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2227,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:24:27-0400 [_ADAuthClientProtocol,client] (('172.20.41.6', 1645), 58): Returning response code 3: AccessReject",_adauthclientprotocol,DUO,returning response code,auth,2017-05-08T15:24:27.460Z,57868,172.21.25.46,duo_auth-515357678,173,<13>May  8 11:24:27 gcSMQ0646.global.com DUO: ,28067912917,0,0.0.0.0/514/tcp,2b03-688fa5cd5,11011, ,2017-05-08T11:24:27.000Z, ,duo_auth,0b9fc831-edcf-44f9-8415-5aedb0695246#2230,"{""id"":""0b9fc831-edcf-44f9-8415-5aedb0695246#2230"",""num_events"":2898,""data_type"":""passthrough"",""batch_id"":""0b9fc831-edcf-44f9-8415-5aedb0695246"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2229,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645,3,accessreject,58, , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:23:56-0400 [DuoForwardServer (UDP)] Received new request id 55 from ('172.20.41.6', 1645)",udp,DUO,received new request id,auth,2017-05-08T15:23:56.472Z,57868,172.21.25.46,duo_auth-3747471979,152,<13>May  8 11:23:56 gcSMQ0646.global.com DUO: ,28067844258,0,0.0.0.0/514/tcp,2b03-688f950a2,11011,duoforwardserver,2017-05-08T11:23:56.000Z, ,duo_auth,6e5e6547-dbda-4f60-8e48-4280d2f4b6be#1401,"{""id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be#1401"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1400,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,55, , , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:23:56-0400 [-] Stopping factory <duoauthproxy.modules.ad_client._ADAuthClientFactory object at 0x0289C450>, ,DUO,stopping factory <duoauthproxy.modules.ad_client._adauthclientfactory object at 0x0289c450>,auth,2017-05-08T15:23:56.472Z,57868,172.21.25.46,duo_auth-3236646410,169,<13>May  8 11:23:56 gcSMQ0646.global.com DUO: ,28067844265,0,0.0.0.0/514/tcp,2b03-688f950a9,11011, ,2017-05-08T11:23:56.000Z, ,duo_auth,6e5e6547-dbda-4f60-8e48-4280d2f4b6be#1403,"{""id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be#1403"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""6e5e6547-dbda-4f60-8e48-4280d2f4b6be"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1402,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , , , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:19:35-0400 [DuoForwardServer (UDP)] (('172.20.41.6', 1645), 30): login attempt for username u'Waiting for IOS to register IP address.'",udp,DUO,login attempt,auth,2017-05-08T15:19:35.399Z,57868,172.21.25.46,duo_auth-601040247,197,<13>May  8 11:19:35 gcSMQ0646.global.com DUO: ,28067387288,0,0.0.0.0/514/tcp,2b03-688f25798,11011,duoforwardserver,2017-05-08T11:19:35.000Z, ,duo_auth,77351507-6399-454e-baa8-282125506f6e#1040,"{""id"":""77351507-6399-454e-baa8-282125506f6e#1040"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""77351507-6399-454e-baa8-282125506f6e"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1039,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,30,waiting for ios to register ip address., , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:19:35-0400 [DuoForwardServer (UDP)] Sending AD authentication request for 'Waiting for IOS to register IP address.' to '172.21.14.26',udp,DUO,sending ad authentication request,auth,2017-05-08T15:19:35.399Z,57868,172.21.25.46,duo_auth-2957086454,196,<13>May  8 11:19:35 gcSMQ0646.global.com DUO: ,28067387289,0,0.0.0.0/514/tcp,2b03-688f25799,11011,duoforwardserver,2017-05-08T11:19:35.000Z, ,duo_auth,77351507-6399-454e-baa8-282125506f6e#1041,"{""id"":""77351507-6399-454e-baa8-282125506f6e#1041"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""77351507-6399-454e-baa8-282125506f6e"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1040,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , ,waiting for ios to register ip address.,172.21.14.26,private ip address lan,rsv, , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:19:35-0400 [_ADAuthClientProtocol,client] (('172.20.41.6', 1645), 30): Returning response code 3: AccessReject",_adauthclientprotocol,DUO,returning response code,auth,2017-05-08T15:19:35.399Z,57868,172.21.25.46,duo_auth-515357678,173,<13>May  8 11:19:35 gcSMQ0646.global.com DUO: ,28067387292,0,0.0.0.0/514/tcp,2b03-688f2579c,11011, ,2017-05-08T11:19:35.000Z, ,duo_auth,77351507-6399-454e-baa8-282125506f6e#1042,"{""id"":""77351507-6399-454e-baa8-282125506f6e#1042"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""77351507-6399-454e-baa8-282125506f6e"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1041,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645,3,accessreject,30, , , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:20:17-0400 [DuoForwardServer (UDP)] Sending AD authentication request for 'Waiting for IOS to register IP address.' to '172.21.14.26',udp,DUO,sending ad authentication request,auth,2017-05-08T15:20:17.356Z,57868,172.21.25.46,duo_auth-2957086454,196,<13>May  8 11:20:17 gcSMQ0646.global.com DUO: ,28067456585,0,0.0.0.0/514/tcp,2b03-688f36649,11011,duoforwardserver,2017-05-08T11:20:17.000Z, ,duo_auth,9c86e9d8-642c-499f-8b05-5af301d2d113#499,"{""id"":""9c86e9d8-642c-499f-8b05-5af301d2d113#499"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""9c86e9d8-642c-499f-8b05-5af301d2d113"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":498,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , ,waiting for ios to register ip address.,172.21.14.26,private ip address lan,rsv, , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:09:19-0400 [_ADAuthClientProtocol,client] (('172.20.41.6', 1645), 227): Primary credentials rejected - 'Invalid User'",_adauthclientprotocol,DUO,primary credentials rejected,auth,2017-05-08T15:09:19.921Z,57868,172.21.25.46,duo_auth-3190694820,180,<13>May  8 11:09:20 gcSMQ0646.global.com DUO: ,28066379244,0,0.0.0.0/514/tcp,2b03-688e2f5ec,11011, ,2017-05-08T11:09:19.000Z, ,duo_auth,b38dd870-4672-4b3c-a434-55652a14b833#600,"{""id"":""b38dd870-4672-4b3c-a434-55652a14b833#600"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""b38dd870-4672-4b3c-a434-55652a14b833"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":599,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,227, , , , ,invalid user, , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:11:45-0400 [DuoForwardServer (UDP)] Sending request from 172.20.41.6 to radius_server_auto4,udp,DUO,sending request,auth,2017-05-08T15:11:45.240Z,57868,172.21.25.46,duo_auth-195892805,154,<13>May  8 11:11:45 gcSMQ0646.global.com DUO: ,28066626522,0,0.0.0.0/514/tcp,2b03-688e6bbda,11011,duoforwardserver,2017-05-08T11:11:45.000Z,radius_server_auto4,duo_auth,e48632bf-8780-4aac-a8be-b4e8e108c9b0#2548,"{""id"":""e48632bf-8780-4aac-a8be-b4e8e108c9b0#2548"",""num_events"":2897,""data_type"":""passthrough"",""batch_id"":""e48632bf-8780-4aac-a8be-b4e8e108c9b0"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2547,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011, , , , , , , , , , , , , , , , 
