username,starttime,srcport,srcipv4,srchost,rule,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,hostname,group,endtime,dstipv4,direction,class,application,action,accountdomain,_eventid,__metadata__,srcisp,srcusagetype,dstcountry,dstcountrycode,dstcity,dstdomain,dstisp,dstlatitude,dstlongitude,dstregion,dstusagetype,meta_cbname,size,process,msg,md5,deviceid,description,server,risklevel,info,duration,ruleid,filepath,filename,dstport,category
network service,2017-05-08T10:40:13.000Z,53255,172.21.25.10,005056b100a1,system network processes 2,gcsmq0602,127.0.0.1,"gcSMQ0311,Local: 172.21.25.10,Local: 53255,Local: 005056B100A1,Remote: 23.15.7.96,Remote: crl.microsoft.com,Remote: 80,Remote: 00000C07AC7D,TCP,Outbound,Begin: 2017-05-08 10:40:13,End: 2017-05-08 10:40:14,Occurrences: 3,Application: C:/Windows/System32/svchost.exe,Rule: System Network Processes 2,Location: Default,User: NETWORK SERVICE,Domain: NT AUTHORITY,Action: Allowed",tcp,SymantecServer,antivirus,2017-05-08T15:14:31.077Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,420,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066915932,1,0.0.0.0/514/udp,2b03-688eb265c,11011,gcsmq0311,default,2017-05-08T10:40:14.000Z,23.15.7.96,outbound,symantec_endpoint_protection,c:/windows/system32/svchost.exe,allowed,nt authority,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1104,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1104"",""num_events"":2982,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1103,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,united states,us,ashburn,akamai.com,akamai technologies inc.,39.04372024536133,-77.48748779296875,virginia,cdn,11011, , , , , , , , , , , , , , , 
b.smith,2017-05-08T10:54:35.000Z,1900,239.255.255.250,5ce0c508c49c,block incoming,gcsmq0602,127.0.0.1,"NYCLT5189C,Local: 239.255.255.250,Local: 1900,Local: 5CE0C508C49C,Remote: 172.24.33.119,Remote: ,Remote: 64997,Remote: C056274F53F1,UDP,Inbound,Begin: 2017-05-08 10:54:35,End: 2017-05-08 10:55:15,Occurrences: 16,Application: ,Rule: block Incoming,Location: Default,User: b.smith,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.121Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,364,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916051,1,0.0.0.0/514/udp,2b03-688eb26d3,11011,nyclt5189c,default,2017-05-08T10:55:15.000Z,172.24.33.119,inbound,symantec_endpoint_protection, ,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1502,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1502"",""num_events"":2953,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1501,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",multicast,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
b.smith,2017-05-08T10:55:08.000Z,137,172.24.47.255,gcgcgcgcgcgc,block incoming,gcsmq0602,127.0.0.1,"NYCLT5189C,Local: 172.24.47.255,Local: 137,Local: gcgcgcgcgcgc,Remote: 172.24.32.134,Remote: ,Remote: 137,Remote: 985FD3363FD6,UDP,Inbound,Begin: 2017-05-08 10:55:08,End: 2017-05-08 10:55:08,Occurrences: 1,Application: C:/WINDOWS/system32/NTOSKRNL.EXE,Rule: block Incoming,Location: Default,User: b.smith,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.169Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,390,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916184,1,0.0.0.0/514/udp,2b03-688eb2758,11011,nyclt5189c,default,2017-05-08T10:55:08.000Z,172.24.32.134,inbound,symantec_endpoint_protection,c:/windows/system32/ntoskrnl.exe,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1515,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1515"",""num_events"":2953,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1514,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
b.smith,2017-05-08T10:55:07.000Z,1211,255.255.255.255,gcgcgcgcgcgc,block incoming,gcsmq0602,127.0.0.1,"NYCLT5189C,Local: 255.255.255.255,Local: 1211,Local: gcgcgcgcgcgc,Remote: 172.24.32.235,Remote: ,Remote: 59500,Remote: 34028602CBEB,UDP,Inbound,Begin: 2017-05-08 10:55:07,End: 2017-05-08 10:55:07,Occurrences: 1,Application: ,Rule: block Incoming,Location: Default,User: b.smith,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.175Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,363,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916193,1,0.0.0.0/514/udp,2b03-688eb2761,11011,nyclt5189c,default,2017-05-08T10:55:07.000Z,172.24.32.235,inbound,symantec_endpoint_protection, ,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1520,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1520"",""num_events"":2953,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1519,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",reserved rfc3330,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
b.smith,2017-05-08T10:55:09.000Z,67,255.255.255.255,gcgcgcgcgcgc,block incoming,gcsmq0602,127.0.0.1,"NYCLT5189C,Local: 255.255.255.255,Local: 67,Local: gcgcgcgcgcgc,Remote: 172.24.33.104,Remote: ,Remote: 68,Remote: 4C348822EC23,UDP,Inbound,Begin: 2017-05-08 10:55:09,End: 2017-05-08 10:55:09,Occurrences: 1,Application: ,Rule: block Incoming,Location: Default,User: b.smith,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.183Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,358,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916212,1,0.0.0.0/514/udp,2b03-688eb2774,11011,nyclt5189c,default,2017-05-08T10:55:09.000Z,172.24.33.104,inbound,symantec_endpoint_protection, ,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1529,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1529"",""num_events"":2953,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1528,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",reserved rfc3330,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
network service,2017-05-08T10:54:57.000Z,5355,224.0.0.252,01005e0000fc,system network processes,gcsmq0602,127.0.0.1,"NYCLT5189C,Local: 224.0.0.252,Local: 5355,Local: 01005E0000FC,Remote: 172.24.32.48,Remote: ,Remote: 54683,Remote: 4C348822EC8C,UDP,Inbound,Begin: 2017-05-08 10:54:57,End: 2017-05-08 10:55:03,Occurrences: 8,Application: C:/Windows/System32/svchost.exe,Rule: System Network Processes,Location: Default,User: NETWORK SERVICE,Domain: NT AUTHORITY,Action: Allowed",udp,SymantecServer,antivirus,2017-05-08T15:14:31.189Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,404,<58>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916220,1,0.0.0.0/514/udp,2b03-688eb277c,11011,nyclt5189c,default,2017-05-08T10:55:03.000Z,172.24.32.48,inbound,symantec_endpoint_protection,c:/windows/system32/svchost.exe,allowed,nt authority,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1533,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1533"",""num_events"":2953,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1532,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",multicast,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
j.dalton,2017-05-08T10:58:23.000Z,5353,224.0.0.251,01005e0000fb,block incoming,gcsmq0602,127.0.0.1,"NYCLT4804A,Local: 224.0.0.251,Local: 5353,Local: 01005E0000FB,Remote: 172.24.32.198,Remote: ,Remote: 5353,Remote: 9801A782832B,UDP,Inbound,Begin: 2017-05-08 10:58:23,End: 2017-05-08 10:58:23,Occurrences: 1,Application: C:/Program Files (x86)/Google/Chrome/Application/chrome.exe,Rule: block Incoming,Location: Default,User: j.dalton,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.415Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,417,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916780,1,0.0.0.0/514/udp,2b03-688eb29ac,11011,nyclt4804a,default,2017-05-08T10:58:23.000Z,172.24.32.198,inbound,symantec_endpoint_protection,c:/program files (x86)/google/chrome/application/chrome.exe,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1901,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1901"",""num_events"":2905,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1900,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",multicast,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
j.dalton,2017-05-08T10:58:24.000Z,137,172.24.47.255,gcgcgcgcgcgc,block incoming,gcsmq0602,127.0.0.1,"NYCLT4804A,Local: 172.24.47.255,Local: 137,Local: gcgcgcgcgcgc,Remote: 172.24.33.26,Remote: ,Remote: 53902,Remote: F45C89AD5193,UDP,Inbound,Begin: 2017-05-08 10:58:24,End: 2017-05-08 10:58:24,Occurrences: 1,Application: C:/WINDOWS/system32/NTOSKRNL.EXE,Rule: block Incoming,Location: Default,User: j.dalton,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.423Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,391,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916813,1,0.0.0.0/514/udp,2b03-688eb29cd,11011,nyclt4804a,default,2017-05-08T10:58:24.000Z,172.24.33.26,inbound,symantec_endpoint_protection,c:/windows/system32/ntoskrnl.exe,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1919,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1919"",""num_events"":2905,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1918,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
j.dalton,2017-05-08T10:58:27.000Z,17500,255.255.255.255,gcgcgcgcgcgc,block incoming,gcsmq0602,127.0.0.1,"NYCLT4804A,Local: 255.255.255.255,Local: 17500,Local: gcgcgcgcgcgc,Remote: 172.24.33.137,Remote: ,Remote: 17500,Remote: E4B318D81517,UDP,Inbound,Begin: 2017-05-08 10:58:27,End: 2017-05-08 10:58:27,Occurrences: 2,Application: ,Rule: block Incoming,Location: Default,User: j.dalton,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.454Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,364,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916917,1,0.0.0.0/514/udp,2b03-688eb2a35,11011,nyclt4804a,default,2017-05-08T10:58:27.000Z,172.24.33.137,inbound,symantec_endpoint_protection, ,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1926,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1926"",""num_events"":2905,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1925,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",reserved rfc3330,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
j.dalton,2017-05-08T10:58:13.000Z,1900,239.255.255.250,f48c50e713c3,block incoming,gcsmq0602,127.0.0.1,"NYCLT4804A,Local: 239.255.255.250,Local: 1900,Local: F48C50E713C3,Remote: 172.24.34.96,Remote: ,Remote: 65028,Remote: 4C348822EC87,UDP,Inbound,Begin: 2017-05-08 10:58:13,End: 2017-05-08 10:58:15,Occurrences: 3,Application: ,Rule: block Incoming,Location: Default,User: j.dalton,Domain: globalcom,Action: blocked",udp,SymantecServer,antivirus,2017-05-08T15:14:31.468Z,58176,172.21.25.20,symantec_endpoint_protection-1453027712,362,<59>May  8 11:09:45 gcSMQ0602 SymantecServer: ,28066916950,1,0.0.0.0/514/udp,2b03-688eb2a56,11011,nyclt4804a,default,2017-05-08T10:58:15.000Z,172.24.34.96,inbound,symantec_endpoint_protection, ,blocked,globalcom,00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1941,"{""id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349#1941"",""num_events"":2905,""data_type"":""passthrough"",""batch_id"":""00cab6ec-086f-4c75-a6f1-4ac9be9b3349"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1940,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",multicast,rsv, , , , ,private ip address lan, , , ,rsv,11011, , , , , , , , , , , , , , , 
