source,severity,service,rawmsghostname,rawmsghostipv4,rawmsg,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,hostname,eventtime,eventid,class,category,_eventid,__metadata__,meta_cbname,usersecurityid,username,transactionid,server,processid,process,privileges,logonid,info,handleid,filename,accountdomain,sessionid,srcport,srcipv4,protoid,application,srcisp,srcusagetype,logontypeid,description,srcipv6,srchost,authmethod,msr_ruleids,filepath,creatorprocessid,args,dstport,dstipv4,direction,dstisp,dstusagetype,weight,manufacturer,action,type,ttl,srczone,statuscode,accountname
xtia,information,n/a,gcgcp0500.global.com,127.0.0.1,MSWinEventLog	1	Application	390403	Tue May  2 11:02:26 2017	0	xTIA	N/A	N/A	Information	gcgcp0500.global.com	N/A		 >> Process integration xTIA SourceSystem 4 >> 	47950004,>> process integration xtia sourcesystem 4 >>,"auth,windows",2017-05-02T15:02:27.611Z,60470,172.25.0.7,ms_windows_event-3053450971,216,<14>May  2 11:02:26 gcgcp0500.global.com ,27946627571,0,0.0.0.0/514/tcp,2b03-681bfb1f3,11011,gcgcp0500.global.com,2017-05-02T11:02:26.000Z,0,ms_windows_event,application,00f5a207-d250-465a-943f-f7b6bac5548a#443,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#443"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":442,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logogc,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131335	Tue May  2 11:02:24 2017	4634	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Logogc		N/A	304320892,n/a,"auth,windows",2017-05-02T15:02:25.088Z,50165,172.21.14.21,ms_windows_event-1377334112,210,<14>May  2 11:02:24 gcSMQ0002.global.com ,27946626885,0,0.0.0.0/514/tcp,2b03-681bfaf45,11011,gcsmq0002.global.com,2017-05-02T11:02:24.000Z,4634,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#526,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#526"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":525,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logon,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131338	Tue May  2 11:02:24 2017	4624	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Logon		N/A	304320895,n/a,"auth,windows",2017-05-02T15:02:25.089Z,50165,172.21.14.21,ms_windows_event-796723568,209,<14>May  2 11:02:24 gcSMQ0002.global.com ,27946626889,0,0.0.0.0/514/tcp,2b03-681bfaf49,11011,gcsmq0002.global.com,2017-05-02T11:02:24.000Z,4624,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#527,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#527"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":526,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logon,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131340	Tue May  2 11:02:24 2017	4624	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Logon		N/A	304320897,n/a,"auth,windows",2017-05-02T15:02:25.090Z,50165,172.21.14.21,ms_windows_event-796723568,209,<14>May  2 11:02:24 gcSMQ0002.global.com ,27946626893,0,0.0.0.0/514/tcp,2b03-681bfaf4d,11011,gcsmq0002.global.com,2017-05-02T11:02:24.000Z,4624,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#528,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#528"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":527,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logon,gcsmq0000.global.com,127.0.0.1,MSWinEventLog	1	Security	1629809	Tue May  2 11:02:24 2017	4624	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0000.global.com	Logon		N/A	186394898,n/a,"auth,windows",2017-05-02T15:02:25.582Z,51131,172.21.14.20,ms_windows_event-796723568,209,<14>May  2 11:02:24 gcSMQ0000.global.com ,27946626929,0,0.0.0.0/514/tcp,2b03-681bfaf71,11011,gcsmq0000.global.com,2017-05-02T11:02:24.000Z,4624,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#596,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#596"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":595,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logon,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131438	Tue May  2 11:02:27 2017	4624	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Logon		N/A	304320995,n/a,"auth,windows",2017-05-02T15:02:28.141Z,50165,172.21.14.21,ms_windows_event-796723568,209,<14>May  2 11:02:27 gcSMQ0002.global.com ,27946627858,0,0.0.0.0/514/tcp,2b03-681bfb312,11011,gcsmq0002.global.com,2017-05-02T11:02:27.000Z,4624,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#616,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#616"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":615,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,logon,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131446	Tue May  2 11:02:27 2017	4624	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Logon		N/A	304321003,n/a,"auth,windows",2017-05-02T15:02:28.145Z,50165,172.21.14.21,ms_windows_event-796723568,209,<14>May  2 11:02:27 gcSMQ0002.global.com ,27946627867,0,0.0.0.0/514/tcp,2b03-681bfb31b,11011,gcsmq0002.global.com,2017-05-02T11:02:27.000Z,4624,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#618,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#618"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":617,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,kerberos service ticket operations,gcsmq0002.global.com,127.0.0.1,MSWinEventLog	1	Security	2131448	Tue May  2 11:02:27 2017	4769	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcSMQ0002.global.com	Kerberos Service Ticket Operations		N/A	304321005,n/a,"auth,windows",2017-05-02T15:02:28.147Z,50165,172.21.14.21,ms_windows_event-2408821607,238,<14>May  2 11:02:27 gcSMQ0002.global.com ,27946627870,0,0.0.0.0/514/tcp,2b03-681bfb31e,11011,gcsmq0002.global.com,2017-05-02T11:02:27.000Z,4769,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#619,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#619"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":618,""source_type"":""json"",""target_index"":""""}",11011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,other object access events,gcmex0400.global.com,127.0.0.1,MSWinEventLog	1	Security	773388	Tue May  2 10:02:26 2017	4656	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcMEX0400.global.com	Other Object Access Events		A handle to an object was requested.    Subject:   Security ID:  S-1-5-18   Account Name:  gcMEX0400$   Account Domain:  globalcom   Logon ID:  0x3e7    Object:   Object Server:  PlugPlayManager   Object Type:  Security   Object Name:  PlugPlaySecurityObject   Handle ID:  0x0    Process Information:   Process ID:  0x2e0   Process Name:  C:\Windows\System32\svchost.exe    Access Request Information:   Transaction ID:  {00000000-0000-0000-0000-000000000000}   Accesses:  Unknown specific access (bit 1)         Access Reasons:  -   Access Mask:  0x2   Privileges Used for Access Check: -   Restricted SID Count: 0	376831433,a handle to an object was requested,"auth,windows",2017-05-02T15:02:28.072Z,64651,172.20.32.23,ms_windows_event-1655484026,846,<14>May  2 10:02:26 gcMEX0400.global.com ,2661093928,1,0.0.0.0/514/tcp,2b00-9e9d1228,11008,gcmex0400.global.com, ,4656,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#638,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#638"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":637,""source_type"":""json"",""target_index"":""""}",11008,s-1-5-18,gcmex0400$,{00000000-0000-0000-0000-000000000000},plugplaymanager,0x2e0,c:\windows\system32\svchost.exe,-,0x3e7,unknown specific access (bit 1)         access reasons:  -,0,plugplaysecurityobject,globalcom, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
microsoft-windows-security-auditing,success audit,other object access events,gcmex0400.global.com,127.0.0.1,MSWinEventLog	1	Security	773394	Tue May  2 10:02:26 2017	4656	Microsoft-Windows-Security-Auditing	N/A	N/A	Success Audit	gcMEX0400.global.com	Other Object Access Events		A handle to an object was requested.    Subject:   Security ID:  S-1-5-18   Account Name:  gcMEX0400$   Account Domain:  globalcom   Logon ID:  0x3e7    Object:   Object Server:  PlugPlayManager   Object Type:  Security   Object Name:  PlugPlaySecurityObject   Handle ID:  0x0    Process Information:   Process ID:  0x2e0   Process Name:  C:\Windows\System32\svchost.exe    Access Request Information:   Transaction ID:  {00000000-0000-0000-0000-000000000000}   Accesses:  Unknown specific access (bit 1)         Access Reasons:  -   Access Mask:  0x2   Privileges Used for Access Check: -   Restricted SID Count: 0	376831439,a handle to an object was requested,"auth,windows",2017-05-02T15:02:28.074Z,64651,172.20.32.23,ms_windows_event-1655484026,846,<14>May  2 10:02:26 gcMEX0400.global.com ,2661093934,1,0.0.0.0/514/tcp,2b00-9e9d122e,11008,gcmex0400.global.com, ,4656,ms_windows_event,security,00f5a207-d250-465a-943f-f7b6bac5548a#794,"{""id"":""00f5a207-d250-465a-943f-f7b6bac5548a#794"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""00f5a207-d250-465a-943f-f7b6bac5548a"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":793,""source_type"":""json"",""target_index"":""""}",11008,s-1-5-18,gcmex0400$,{00000000-0000-0000-0000-000000000000},plugplaymanager,0x2e0,c:\windows\system32\svchost.exe,-,0x3e7,unknown specific access (bit 1)         access reasons:  -,0,plugplaysecurityobject,globalcom, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
